ID,Topic,Selected Content,Reason
133,Off,We took the suit has we were 2 adults & 3 kids. if the hotel had swimming pool it would be perfect,Not verbatim in review text
138,Off,"Great localization, I recommend this place a lot 
  12 stars :)",Not verbatim in review text
141,Off,"Everything. It felt like a home from home. Exceptional, There was nothing not to like. Fabulous place.",Not verbatim in review text
146,Staff,the staff were so incredibly friendly. But it’s the staff who make this hotel:,Not verbatim in review text
149,Location,Great place for a night before a flight. just the quick path down to the beachside cafes is a bit treacherous.,Not verbatim in review text
149,Staff,"Very friendly staff, let us into room as soon as it was ready. Arranged airport taxi for 6am too.",Not verbatim in review text
153,Staff,"lovely friendly staff who checked us in quickly, also stored luggage and called a taxi for us.",Not verbatim in review text
153,Check-in,"lovely friendly staff who checked us in quickly,",Not verbatim in review text
155,Facility,"A comfortable, nice and clean hotel, The facilities are wonderful, brand new and full equiped.",Not verbatim in review text
171,Off,"Very nice place, (with shallow water, good for people who are not too good swimmers,). It wasn't a big issues",Not verbatim in review text
171,Location,just few steps from the salt lake and the McKenzie Beach. a lot of cafes and bars nearby,Not verbatim in review text
173,Room,IMMACULATELY CLEAN!!! The bedding and floors were SOO CLEAN. how clean it was and the bed and linens were soo comfy and everything smelled good,Not verbatim in review text
185,Staff,The staff accommodated my arrival at 3 a.m. with very clear instructions. The building manager/owner is exceptionally congenial. Also the manager of the kitchen.,Not verbatim in review text
187,All,No valid annotations,No annotations generated
188,All,No valid annotations,No annotations generated
190,Check-in,We had a very late (1am) self check-in self check-in which worked very well.,Not verbatim in review text
206,Location,great location. The beach is less than 5 minutes away.,Not verbatim in review text
208,Location,"quiet area , easy find parking places",Not verbatim in review text
212,Off,"10/10 recommended, There was nothing that we didn't like",Not verbatim in review text
214,Check-in,I arrived late at night. The hotell made sure I could check in.,Not verbatim in review text
216,Room,"the room is very clean，the bed is comfortable,",Not verbatim in review text
217,Off,"Very nice, Everything",Not verbatim in review text
217,All,No valid annotations,No annotations generated
218,Off,"and good location. Nothing, it was all good",Not verbatim in review text
221,Staff,We arrived later than planned due to flight issues but the owner was aware as he had tracked our flight; despite being late we were offered food and drink in the bar which was most welcome. The staff were all friendly and welcoming - especially the restaurant owner.,Not verbatim in review text
225,All,No valid annotations,No annotations generated
226,Room,"Rooms and hotel in general are very clean, aircon modern and quiet, and room service is also excellent. ""Plenty of electricity outlets in the room, also by the bed, but remember the UK-adapter to use standard EU-plugs ;-)
  The double bed, although nothing fancy, was probably the best hotel bed we've slept in ... ever!!!""",Not verbatim in review text
226,Room,"although nothing fancy, there is not much extra in this hotel or in the room. The small fridge in the room was warm (turned off) upon arrival and completely empty, and no local shop/kiosk nearby to fill it up. One small bottle of water upon arrival to double room feels a little poor. Would gladly have paid those 2€ more per day to have 2 bottles initially and being refilled daily with room service. A couple of cents more, to have even tea on the small welcome tray ;-) Bathroom floor gets completely wet when (carefully) showering, as only half a glass wall covers the shower. 
  - Bed frame has very sharp/hard corners, and it's easy to get hurt. Apply baby safety corners?",Not verbatim in review text
226,Facility,"Veranda door and main door doesn't close entirely tight so main door slams in the night when it's windy. However fixable in MacGyver way using the bed cover and a tea spoon, although a professional seal attached to the door frame would probably be a better fix long-term ;-), Beach towel services would also have been nice and useful, to avoid using lots of space/weight in baggage.",Not verbatim in review text
228,Staff,"the Cyprus hospitality at the highest level. Feel at home in 1 minute with owners welcoming you with a big smile., hospitality",Not verbatim in review text
228,Location,"the location is convenient, quiet",Not verbatim in review text
230,Off,"location, all was good nothing bad to say",Not verbatim in review text
233,Food,Breakfast was amazing in a beautiful setting and the management are wonderful. a little far from local shop but have everything we need in the cafe.,Not verbatim in review text
240,Room,Thank you so much for a very warm welcome and comfortable stay. Most importantly it is very clean!,Not verbatim in review text
242,Off,"We will definitely come again! highly recommended!, nothing!",Not verbatim in review text
244,All,No valid annotations,No annotations generated
246,Location,"The taxi driver had a hard time finding it to drop us off, as it’s amongst several apartment buildings on a small side street. That’s the only negative. The location is a bit hard to find. The taxi drivers GPS had trouble finding it, but eventually we did. It’s amongst several apartment buildings on a small side street.",Not verbatim in review text
248,Off,"Absolutely everything was great!!!!!!!!!, I didn't want to leave my room!! Also thank you for taxi, it arrived right in time!",Not verbatim in review text
249,All,No valid annotations,No annotations generated
255,Location,"Very cozy, modern, clean hotel close to the airport. The location is super convenient, only few steps from the beach.",Not verbatim in review text
258,Off,"I heartily recommend it!, it wasn't like that!",Not verbatim in review text
262,Room,"Clean, We slept well in a comfy clean bed",Not verbatim in review text
262,Staff,"great attentive staff, The staff could not be more helpful and showed us to a really nice room with a balcony over the front of the hotel, before they arranged a car for us to get back to the airport to collect our hire car.",Not verbatim in review text
273,All,No valid annotations,No annotations generated
279,Food,Breakfast is not included in the hotel cost. (no menu - you get whatever is served).,Not verbatim in review text
279,Location,The hotel is in a residential neighborhood of apartments and is modern. The hotel is approx 10 minute drive from the airport and 20 minute drive from the historical area.,Not verbatim in review text
283,Staff,staff was very friendly. They also were very responsive to any pre-arrival questions,Not verbatim in review text
284,Facility,"La Veranda was very clean, and was flexible with our schedule.",Not verbatim in review text
288,Location,"Boutique hotel in the quiet area, Only few kilometers from the airport but quite distant from the city center. On the other hand - close to salt lake to have opportunity to watch flamings.",Not verbatim in review text
290,Room,"The room and location were excellent value for money- I was also upgraded a room free of charge, Lovely balcony view of the ocean.",Not verbatim in review text
290,Price,"The room and location were excellent value for money- I was also upgraded a room free of charge, Lovely balcony view of the ocean.",Not verbatim in review text
295,Facility,"everything was just great, the new and well furnished hotel with comfortable rooms;, the atmosphere there makes you feel like home,",Not verbatim in review text
295,Room,"the new and well furnished hotel with comfortable rooms, room was cleaned every day; wifi is strong all the time;",Not verbatim in review text
295,Staff,"the staff is polite and helpful;, the hosts are very kind and smiling people;",Not verbatim in review text
300,Off,"My stay at this hotel was a great experience and would definitely come back with my family, Highly recommended!",Not verbatim in review text
310,Off,"we stayed in this hotel one night prior to our departure from Cyprus, all was good",Not verbatim in review text
311,Room,"Very clean, Nice freshly decorated rooms.",Not verbatim in review text
311,Staff,"staff very welcoming and helpful, quick response when asking about bringing them.",Not verbatim in review text
312,Facility,"the place was very clean, and everything was very clean.",Not verbatim in review text
312,Staff,and there’s an incredibly kind and helpful staff. they were very flexible about our strange schedule.,Not verbatim in review text
313,Facility,"Nicely renovated and clean hotel, Quiet street with sufficient parking facilities.",Not verbatim in review text
317,All,No valid annotations,No annotations generated
318,Room,"Refurbishment not totally complete, so safety box wasn’t working., so could do with one more double hook in bathroom for towels.",Not verbatim in review text
320,All,No valid annotations,No annotations generated
322,Facility,"Excellent everything., The place was clean, spacious and really nice.",Not verbatim in review text
323,Location,"I stayed in this hotel (twice) because of the location to the airport., It is a 10 minute walk to Makenzie Beach and those restaurants, but it also has a nice patio restaurant for a meal or cocktail.",Not verbatim in review text
323,Room,"But, I found it be clean, modern, comfortable, but they have nice amenities (fridge, coffee making, AC, nice balcony) and are spotless and comfortable.",Not verbatim in review text
325,Facility,"nice small hotel, everything was good.",Not verbatim in review text
325,Location,"not far from the airport., and 5 min walk to the beach.",Not verbatim in review text
332,Room,"The room was really clean and the bed was comfortable,",Not verbatim in review text
334,Room,"Absolutely clean, Ultimate hygiene. Very clean .",Not verbatim in review text
334,Staff,"and friendly staff., Staff and owners very friendly and helpful .",Not verbatim in review text
339,Facility,It’s definitely one of the best accommodations I’ve ever been in. Very friendly and comfortable atmosphere.,Not verbatim in review text
339,Room,"Everything was just good:
  Clean rooms, cleaning every day; Strong wi-fi at any time;",Not verbatim in review text
353,Facility,"Simple clear contemporary decoration, This hotel being new",Not verbatim in review text
355,Location,"We’ve chosen La Veranda as we had an early flight from Larnaka airport, There is a beach strip nearby with various restaurants for every taste",Not verbatim in review text
355,Off,"and we enjoyed one night stay. we walked there, had cocktails in one place, and a dinner in another. and we were in the airport in no time at all.",Not verbatim in review text
360,All,No valid annotations,No annotations generated
366,Food,"Especially,the chef of La Vernada Hotel is perfest,he made delicious breakfast,lunch and dinner and his food is better than a 5star hotel. and the prices of the food are very good and are not expensive.Absolutely fantastic hotel with an excellent chef that make this hotel perfect.",Not verbatim in review text
372,Staff,Very helpful staff.,Not verbatim in review text
372,Location,"15 minutes drive from the airport, 15 walk to the city center, about 300 meters to the nice beach.",Not verbatim in review text
373,Facility,"Cozy, clean hotel, Nice place,",Not verbatim in review text
375,Food,The food he creates is outstanding and delicious. Even the simplest of food ie. chicken burger and salad was made to taste exceptional. Richard cooks from the heart.,Not verbatim in review text
379,Off,Stayed at hotel for 1 night before departure - everything was giod!,Not verbatim in review text
379,Staff,"were pleased by staff, Hotel administrator helped us with taxi.",Not verbatim in review text
380,Staff,Very nice and helpful staff able to go an extra mile for your satisfaction. I was very satisfied with their service,Not verbatim in review text
382,Staff,The hotel facilitated shuttle service from the airport for an additional cost based on my request. Maha was responsive and reachable via whatsap and was able to accommodate the needs for my stay.,Not verbatim in review text
387,All,No valid annotations,No annotations generated
388,Off,I recommend it without any reservation. Nothing at all,Not verbatim in review text
389,Location,"Great location! Convenient to the airport and the beach. 5 minutes away from the airport and within walking distance to the beach, restaurants, and other amenities this is the place for you",Not verbatim in review text
389,Facility,"If you are looking to an affordable, clean hotel this is the place for you",Not verbatim in review text
397,All,No valid annotations,No annotations generated
398,Room,"Very modern and clean. Netflix in room an unexpected surprise, No views",Not verbatim in review text
398,Room,"Netflix in room an unexpected surprise, but beware, difficult to sign back out of your account!, No views, Room small. But I had the smallest I think.",Not verbatim in review text
398,Location,but a short walk to nice beach bars. Close to airport.,Not verbatim in review text
398,All,No valid annotations,No annotations generated
400,Room,"It would be great to have a clothes dryer at the balcony or in the bathroom, because after the swimming nowhere to dry the wet clothes and towels. After the room cleaning, most hotels provide a bottle of water. We had one bottle only after check in and none for the rest 5 nights.",Not verbatim in review text
403,Staff,"Very good team
  Good hospitality
 Smiling and willing people.",Not verbatim in review text
406,Room,"The lock on the balcony's door was broken (however they sayd ""we repaired it"" when I asked it wasn't done, the lock wasn't closing as it should), and the noise from the street was entering to my room through the ""crack"". I almost broke the showers door, cause when you open the shower the door touches the toilet",Not verbatim in review text
410,Location,"The location is amazing. Being close to the airport in Larnaka makes travelling easier. Also being right next to the Salt Lake is a must-see especially if there is a good sunset. 
  Within a 10 minute walk you can be on MacKenzie beach which is well maintained and cleaner than other beaches we seen in Larnaka. The hotel is next to a bus stop for travelling between downtown and other locations. Very handy since we didn’t hire a car.",Not verbatim in review text
411,All,No valid annotations,No annotations generated
413,All,No valid annotations,No annotations generated
418,Room,The bottle with hair/body wash was empty. Aircon had just one uncontrolled speed. There were no adapters for CY sockets. The blanket was too warm for summer night.,Not verbatim in review text
418,All,No valid annotations,No annotations generated
422,Facility,"This hotel is very new and completely renovated. It’s spotless clean, comfortable. Free parking,",Not verbatim in review text
422,Staff,and very good service from the family that owns it. We felt very welcome.,Not verbatim in review text
438,Room,"The duvet was for the winter and even with 23 degrees Celsius on the a/c it was unbearable!
  No simple sheets on the bed either...we could not open the windows because it was very very noisy. 
  Also the windows had no soundproofing whatsoever because the noise was too much!! Also the room had a hair dryer and a kettle that we could not use because the plugs did not fit the sockets and the hotel didn't provide adaptors...So no use of that service in the room either!",Not verbatim in review text
448,Room,Clean room. comfortable bed,Not verbatim in review text
452,Location,Chose this hotel because of it’s proximity to airport. Very quiet neighbourhood,Not verbatim in review text
453,Room,"Safe didn’t work, back door balcony in other bedroom wouldn’t lock, do not disturb sign didn’t work (electronic), very noisy guests.",Not verbatim in review text
455,Room,It’s clean. The pictures of the room are accurate,Not verbatim in review text
455,Location,"The location was not great, It’s in front of a pension and so close that people could see the colour of my underwear.",Not verbatim in review text
455,Facility,"the pool not even to be considered, the overall hotel installation is badly maintained. It’s in front of a pension. The lift broke. The pictures of the room are accurate but fot the hotel installation and pool have a look to ‘Pasithea Apartments’",Not verbatim in review text
456,Location,"Location is good. Convenient by taxi to city Center,airport and beach.",Not verbatim in review text
456,Staff,Mrs Tony does a fabulous job keeping the place spotless and making the guests comfortable. The helps are amazing too. Thanks to all at the hotel who work hard to keep it in good condition.,Not verbatim in review text
458,Room,"Noisy. Probably renovation work was in progress so, some items were not ready. Example, there is no rod for hangers in the wardrobe, the safe wasn’t fixed.",Not verbatim in review text
461,Staff,The people working there were kind and responsive. I feel bad writing a negative review because they were kind,Not verbatim in review text
472,Facility,Very friendly atmosphere. A family business where you feel like at home. The hotel is very comfortable.,Not verbatim in review text
492,Room,"bed duvet much too thick, we suffocate underneath! Very hard bed. Noisy, due to the heavy use of tiling",Not verbatim in review text
497,Staff,"welcoming and helpful staff. and I thank Tony for his welcome and his smile, it's so rare.",Not verbatim in review text
499,Room,"the room had everything you need, and also the bathroom. Clean and cozy.",Not verbatim in review text
500,Facility,"The accommodation itself is very good., and on the other hand, if you go by car, even though there is an open-air car park very close,",Not verbatim in review text
503,Room,"the room is restful and pleasant, clean and renovated, The bed is comfortable and so is the shower",Not verbatim in review text
506,Room,"cleanliness, simple and modern furnishings but new like the whole structure",Not verbatim in review text
506,All,No valid annotations,No annotations generated
508,All,No valid annotations,No annotations generated
521,Room,"Very clean, well organized, nothing missing, pleasant balcony, comfortable mattress.",Not verbatim in review text
527,Off,I fully recommend it. Anything.,Not verbatim in review text
540,Location,"Location is very close to the beach, Very close to the airport, like 8 minutes by car.",Not verbatim in review text
540,Room,Really soft bed and pillows. but large bathroom and shower.,Not verbatim in review text
542,Location,The hotel is very close to the airport. There are many restaurants and cafes within walking distance from the hotel (which was very convenient for us). Very close to the beach.,Not verbatim in review text
552,Off,"We had a really nice time at this hotel, There is nothing we didn't like",Not verbatim in review text
553,Room,"clean rooms, comfortable bed",Not verbatim in review text
556,Staff,"The staff is charming and kind, answers with a smile and agrees to every request.",Not verbatim in review text
556,Food,The restaurant in the hotel is also great.,Not verbatim in review text
559,Off,everything. I liked everything,Not verbatim in review text
559,All,No valid annotations,No annotations generated
560,Room,There was no hot water the two nights.,Not verbatim in review text
565,Location,"Location near the airport, near Mackenzie beach - super convenient. five minutes to the beach.",Not verbatim in review text
565,Staff,"attentive staff, The owners of the hotel helped with all questions.",Not verbatim in review text
569,Staff,The hotel staff is simply charming and kind! They upgraded our room for free. The hotel put us in touch with a taxi driver who took us to visit the mall and charged us decent prices.,Not verbatim in review text
577,Off,"All, Nothing",Not verbatim in review text
577,All,No valid annotations,No annotations generated
578,Staff,"We were especially impressed with the staff: And they arranged a taxi from the airport to the hotel for us, what a great service!",Not verbatim in review text
587,Room,#VALUE!,Not verbatim in review text
589,Staff,"The owners left us clear and precise information for our arrival, sending us photos.
  Sympathy of the owners in the morning who made the effort to speak French to us.",Not verbatim in review text
589,Room,"Cleanliness, quality of bedding, size of the room, bottle of water available.",Not verbatim in review text
590,Off,"we extended our stay in the room for half a day due to the constantly shifting departure of the plane. Very pleasant, Thank you!",Not verbatim in review text
592,All,No valid annotations,No annotations generated
594,Off,"Liked the hotel. but I think this does not apply to the hotel,",Not verbatim in review text
594,Facility,"Newly refurbished, clean and tidy. There is a cozy courtyard. Parking.",Not verbatim in review text
599,Room,The room is small but everything is new and very clean. Comfortable double bed and crisp white linen. Side sea view.,Not verbatim in review text
599,Room,"The room is small but everything is new and very clean. and not a comfortable cot, my 12 child was very cramped there.",Not verbatim in review text
601,All,No valid annotations,No annotations generated
603,Facility,Very clean accommodation. Very pleasant terrace in the evening.,Not verbatim in review text
604,All,No valid annotations,No annotations generated
607,Room,"Clean, Somewhat small and sterile rooms.",Not verbatim in review text
609,Room,"The size of the room was just enough to spend one night, not much more. If I were to go with my partner we would have been disappointed due to the lack of space.",Not verbatim in review text
612,Staff,"the managers of the hotel are extraordinarily kind and caring, they speak French and helped us find a rental car at a good price, they accompanied and advised us during our stay.",Not verbatim in review text
619,Location,and extremely well located for the airport and Larnaca salt lake. For a night of transit before our return to France it was perfect.,Not verbatim in review text
620,Location,Nice clean hotel near the airport. Also in 7-10 minutes you can walk to the embankment.,Not verbatim in review text
626,Off,"The general manager, he is behind the counter in the restaurant, made our holiday), Definitely recommend",Not verbatim in review text
630,Staff,Very friendly and helpful Staff.,Not verbatim in review text
632,Location,as the end of our Cyprus trip to be as close to the airport as possible for the last night! It was perfect for that. The bus connection to the city center was just around the corner and we were able to get back to the hotel later in the evening without any problems using public transport. The location was also perfect for the trip to the airport the next morning (7:00 am). Mackenzie Beach is super close and so are lots of cool bars and restaurants.,Not verbatim in review text
638,Off,"Location, Everything was perfect !",Not verbatim in review text
639,Staff,They accommodated us with an earlier check-in and earlier check-out. Staff very nice. The hotel arranged a transfer to the airport for us.,Not verbatim in review text
639,Food,We had a small lunch here and it was delicious.,Not verbatim in review text
639,Location,"A short distance from the beach, we also found starfish.",Not verbatim in review text
640,Room,the humid air in the room. The air conditioning probably didn't work properly,Not verbatim in review text
641,Off,Definitely a hotel worth visiting again. All was well,Not verbatim in review text
644,Room,"Very clean, comfortable bed, tea and coffee in the room.",Not verbatim in review text
646,Facility,"The hotel is clean, comfortable. I rented a car, there is a place to park.",Not verbatim in review text
646,Location,"and a good location. Very close to Salt Lake and Mackenzie Beach. Very close to bus stop. Very close to the airport, From the hotel you can just walk along the entire promenade of Larnaca, you won’t miss anything. A calm step along the sea to the Church of St. Lazarus 30-40 minutes.",Not verbatim in review text
646,Room,"The room was wonderful. White bed. The shower is wonderful, the air conditioner works,",Not verbatim in review text
649,Location,"The hotel is located near the airport. but we traveled in the off season - there was no noise from the street, and the sound from landing / taking off planes did not particularly bother us.",Not verbatim in review text
652,Room,"Cleanliness 10/10! everything is white, bright, cozy!",Not verbatim in review text
653,Off,"We stayed for one night before flying out of Cyprus, They are drawing a number :)",Not verbatim in review text
654,Facility,"Starting from the street terrace, the hall and up to the room itself - clean, comfortable, with a soft bed. and just drink their wonderful cappuccino on soft sofas, and then sleep the rest of the night on soft beds.",Not verbatim in review text
662,Facility,"Nice accommodation, parking in the hotel area, Beautiful accommodation,",Not verbatim in review text
663,Location,"1. Location
  Hotel near the airport. In total, close to the beach, although to get to the beach relatively quickly",Not verbatim in review text
666,Location,"Great location, Quiet location,",Not verbatim in review text
667,Location,"close location to the bus stop, 10 minutes to the center and 5 minutes to the airport. An ideal place if you need to spend the night before departure from Larnaca.",Not verbatim in review text
668,All,No valid annotations,No annotations generated
670,Location,"Proximity to the airport, A nearby bus stop provides access to the city center and the airport",Not verbatim in review text
676,Room,"The shower has no door or curtain. Wi-fi is enough for a phone, not enough for a laptop.",Not verbatim in review text
682,Room,"In addition to liquid soap, no other means. Bring along shampoos, soaps, gels, etc.",Not verbatim in review text
682,All,No valid annotations,No annotations generated
696,Location,The airport is 6 minutes by car. Near a good beach.,Not verbatim in review text
698,Location,The hotel is 10 minutes from the airport which is very convenient for not missing your flight. but the hotel is well located for the restaurants in the area.,Not verbatim in review text
698,Off,I unfortunately did not try the breakfast or other meal. (But that's a detail!).,Not verbatim in review text
703,Off,"If I were to go back to Cyprus, I wouldn't go anywhere else. RAS",Not verbatim in review text
721,Staff,"helpful people, Nice staff",Not verbatim in review text
726,Off,Everything is great. The pressure of the ox is excellent. Everything is great. The pressure of the ox is excellent.,Not verbatim in review text
726,Room,The room is clean. Bed is comfortable,Not verbatim in review text
733,Staff,The staff is very friendly. but the staff does everything possible to compensate for all inconveniences.,Not verbatim in review text
734,All,No valid annotations,No annotations generated
737,Off,Own. Quality Eco Hotel. Nothing to say,Not verbatim in review text
740,All,No valid annotations,No annotations generated
748,Location,"close to the airport but no aircraft noise. bus station nearby
  salt lake nearby",Not verbatim in review text
760,Off,"Very good location, Sound-proofing",Not verbatim in review text
760,All,No valid annotations,No annotations generated
763,Staff,The warm welcome in French.,Not verbatim in review text
764,Room,"The small room, with almost non-existent storage spaces, an extremely small balcony.
  Thin walls, all night I heard how other travelers checked in. The adapter found in the room burned/melted 2 phone chargers.",Not verbatim in review text
765,Room,"In the photo of the room on Booking, you can't see a column that takes up space and is uncomfortable. The balcony on the first floor is very low, not very intimate, close to the street. The safe does not make sense since it is not walled, They could put shampoo in the bathroom, not just soap. they could put 2 coffee sachets and 2 tea sachets, not just 1.",Not verbatim in review text
767,Location,"Far from the beach., The windows overlooked the courtyard, where it was quite noisy.",Not verbatim in review text
768,Off,"- location of the object. 2 eggs, 2 slices of toast, 1/4 grilled mushroom, 1/2 grilled tomato, pepper, 2 small sausages, coffee),",Not verbatim in review text
769,Off,"A hotel for those who make a long transfer in Cyprus. That is ""hotel for one night"".
 We lived for a week.
 2. the number is microscopic. Rented Nissan Micra and then more; The hotel is really for one night.",Not verbatim in review text
769,Room,"Pros: cleanliness, (cleaning and change of towels daily)",Not verbatim in review text
769,Room,"1. Bed linen was never changed ; 3. the refrigerator is full of minibar for money, I had to pull everything out so that my products would fit;",Not verbatim in review text
773,Location,Mackenzie Beach is 10-15 minutes on asphalt and 5-7 off-road. From the airport 7 - 10 minutes drive.,Not verbatim in review text
779,Location,"The location close to the airport, while being quiet. The proximity to the beach and the city is a significant asset. There is a bus stop near the hotel which allows you to go to the city center and to the airport.",Not verbatim in review text
2484,All,No valid annotations,No annotations generated
